Record_ID,Date,Crop,Disease,Temperature_C,Humidity_%,Region,Soil_Type,Severity,Yield_Loss_%
86,,Wheat,Wilt,30,85.0,Maharashtra,Sandy,HIGH,25.0
374,,Wheat,Leaf Blight,35,,Haryana,Sandy,HIGH,120.0
69,,Rice,Rust,25,150.0,Punjab,clay,low,55.0
58,,Cotton,Wilt,28,95.0,Chhattisgarh,Loamy,,
377,2025-06-29,Potato,Blast,25,60.0,Maharashtra,Loamy,Low,40.0
378,,wheat,Late Blight,,75.0,Punjab,,High,25.0
49,2025-07-05,Rice,Wilt,30,,Punjab,Sandy,Low,55.0
88,32-13-2025,Wheat,Rust,25,95.0,Maharashtra,Sandy,Low,-10.0
381,2025-05-23,Tomato,Unknown,,95.0,punjab,,low,
382,2025-05-30,Potato,Unknown,25,,punjab,,,
383,,Tomato,Late Blight,28,60.0,Punjab,Clay,,55.0
32,32-13-2025,Wheat,Leaf Blight,,150.0,punjab,Loamy,Medium,40.0
385,,Maize,Rust,30,60.0,Punjab,clay,,40.0
386,,Rice,,28,60.0,Chhattisgarh,Clay,low,-10.0
387,2025-10-09,Rice,Unknown,30,60.0,Chhattisgarh,Clay,HIGH,10.0
388,2025-08-16,wheat,Rust,25,75.0,punjab,Clay,Low,-10.0
389,32-13-2025,rice ,Brown Spot,28,60.0,Haryana,Sandy,Medium,10.0
22,,Wheat,Late Blight,30,75.0,Punjab,,High,10.0
391,32-13-2025,Cotton,Rust,100,150.0,Punjab,Sandy,Medium,40.0
392,32-13-2025,Potato,Brown Spot,N/A,60.0,Punjab,Sandy,Medium,55.0
393,2026-04-13,Tomto,Wilt,35,75.0,Maharashtra,Loamy,Low,
34,2026-01-15,Rice,Leaf Blight,100,75.0,Maharashtra,Loamy,,120.0
50,,Tomato,Brown Spot,N/A,,Haryana,Clay,Low,55.0
92,2025-11-29,wheat,Brown Spot,25,95.0,Haryana,Loamy,Low,-10.0
397,2025-07-12,Cotton,Wilt,100,75.0,Chhattisgarh,,,120.0
398,,Rice,,N/A,60.0,Chhattisgarh,Sandy,Low,55.0
399,2026-01-20,rice ,Brown Spot,,60.0,Maharashtra,Loamy,HIGH,120.0
400,,Cotton,Brown Spot,,75.0,Chhattisgarh,Sandy,,25.0
401,32-13-2025,Tomto,Wilt,,75.0,Haryana,Sandy,Low,120.0
60,2025-06-09,Rice,,35,150.0,punjab,clay,low,40.0
61,32-13-2025,Tomato,Unknown,30,,punjab,Loamy,Low,
69,2025-06-21,Rice,Leaf Blight,,60.0,Haryana,Loamy,High,25.0
405,,Potato,Late Blight,,150.0,Chhattisgarh,Clay,HIGH,55.0
406,2026-04-28,Tomato,Blast,,60.0,Haryana,Loamy,low,120.0
407,2025-10-25,rice ,Late Blight,30,95.0,Maharashtra,clay,,
53,32-13-2025,Rice,Wilt,N/A,75.0,Maharashtra,Loamy,low,40.0
409,32-13-2025,rice ,Brown Spot,30,,Haryana,Clay,HIGH,
410,2026-03-14,Wheat,Late Blight,35,,Haryana,Sandy,low,
68,32-13-2025,rice ,Unknown,25,95.0,Haryana,clay,Low,55.0
23,2025-12-24,wheat,Leaf Blight,100,85.0,Maharashtra,Clay,HIGH,-10.0
413,32-13-2025,rice ,Blast,-5,,Punjab,,HIGH,40.0
414,,Rice,Rust,25,,Haryana,,low,40.0
415,,Tomto,Brown Spot,30,150.0,Punjab,,Low,-10.0
99,2026-04-01,wheat,Brown Spot,-5,75.0,Punjab,Loamy,low,55.0
417,32-13-2025,Cotton,,30,75.0,Maharashtra,Loamy,HIGH,25.0
76,,Tomto,Blast,100,60.0,Punjab,Loamy,low,120.0
50,2025-07-02,Tomto,Leaf Blight,100,95.0,punjab,Sandy,High,120.0
28,32-13-2025,Wheat,Leaf Blight,25,60.0,Punjab,Loamy,Medium,25.0
421,32-13-2025,Maize,Rust,100,60.0,Maharashtra,clay,Medium,120.0
422,32-13-2025,wheat,Late Blight,35,150.0,Maharashtra,,,
86,32-13-2025,Tomato,Blast,30,85.0,Maharashtra,Clay,Low,55.0
424,2025-12-20,Potato,Leaf Blight,,60.0,Haryana,Clay,High,55.0
425,2025-07-04,Rice,Brown Spot,30,95.0,Haryana,Clay,Low,25.0
426,2025-10-14,rice ,Rust,100,95.0,Punjab,Clay,low,40.0
54,2025-10-12,Cotton,Leaf Blight,N/A,85.0,Chhattisgarh,Clay,low,120.0
428,32-13-2025,wheat,Wilt,30,,Chhattisgarh,Loamy,Medium,10.0
13,,Rice,Leaf Blight,25,85.0,Haryana,clay,Low,-10.0
71,,Potato,,30,85.0,Punjab,Clay,Low,
431,2025-12-17,Tomto,Late Blight,-5,,Chhattisgarh,Clay,Medium,40.0
432,,Tomato,Leaf Blight,-5,75.0,Chhattisgarh,Sandy,,40.0
433,,Tomato,,30,75.0,Chhattisgarh,clay,,120.0
38,32-13-2025,Maize,Brown Spot,28,85.0,Chhattisgarh,Clay,Medium,55.0
37,,Maize,Wilt,25,150.0,Maharashtra,,High,
436,2025-07-21,Potato,Unknown,-5,150.0,Punjab,,low,40.0
437,,wheat,,,75.0,Maharashtra,clay,High,120.0
19,,Rice,Brown Spot,30,60.0,punjab,Clay,High,25.0
439,,Wheat,Rust,N/A,150.0,Haryana,clay,low,
440,2026-05-20,Potato,Blast,35,60.0,Chhattisgarh,Clay,Medium,40.0
441,,Wheat,,35,95.0,punjab,Clay,,120.0
442,,rice ,Blast,30,,Chhattisgarh,Sandy,,-10.0
443,,Tomato,Leaf Blight,,150.0,Maharashtra,Clay,,55.0
54,2025-12-07,Tomato,Wilt,30,150.0,Haryana,Loamy,,-10.0
445,2026-04-22,Tomato,Rust,-5,75.0,Maharashtra,Clay,Medium,120.0
23,2025-08-06,wheat,Brown Spot,25,95.0,Chhattisgarh,clay,HIGH,25.0
447,2025-06-12,wheat,Brown Spot,,85.0,Maharashtra,,High,25.0
448,32-13-2025,Cotton,Leaf Blight,100,75.0,Chhattisgarh,clay,,55.0
70,32-13-2025,Rice,Leaf Blight,30,85.0,punjab,Clay,HIGH,120.0
450,2026-01-24,Cotton,Unknown,28,85.0,Maharashtra,Clay,High,10.0
23,,Rice,Unknown,,75.0,Maharashtra,Clay,HIGH,-10.0
69,32-13-2025,Maize,Rust,N/A,95.0,Chhattisgarh,clay,,25.0
26,32-13-2025,Tomato,Unknown,100,150.0,punjab,Sandy,High,10.0
454,2026-02-26,Wheat,Unknown,30,,Maharashtra,,Medium,55.0
455,,Cotton,Wilt,-5,85.0,Punjab,clay,Low,25.0
456,,Cotton,Wilt,25,60.0,Chhattisgarh,,Medium,55.0
50,,Rice,Unknown,100,95.0,Maharashtra,Sandy,,-10.0
458,,wheat,Unknown,-5,95.0,Maharashtra,Sandy,low,55.0
89,2025-08-10,Tomato,Unknown,-5,,Chhattisgarh,Clay,,
460,,rice ,Brown Spot,N/A,85.0,Punjab,clay,Medium,-10.0
461,,Cotton,Late Blight,N/A,,Haryana,,,10.0
90,,Maize,Late Blight,100,75.0,Haryana,clay,Low,120.0
2,,Wheat,Brown Spot,100,75.0,Maharashtra,clay,low,10.0
54,2025-08-04,Maize,Wilt,25,85.0,punjab,Loamy,High,10.0
83,,rice ,Rust,-5,85.0,Chhattisgarh,Sandy,HIGH,40.0
97,2025-11-11,Wheat,Brown Spot,,75.0,Haryana,clay,Low,
467,2026-03-01,Tomato,Blast,N/A,75.0,Chhattisgarh,,low,40.0
468,,Rice,Late Blight,-5,95.0,Punjab,,Low,55.0
469,,Wheat,Late Blight,35,85.0,punjab,Loamy,Low,25.0
470,32-13-2025,Maize,Blast,28,,Punjab,clay,,25.0
87,32-13-2025,Cotton,,-5,75.0,Haryana,clay,,
472,2025-06-11,Wheat,Rust,25,95.0,Maharashtra,,High,55.0
473,2025-10-20,wheat,Brown Spot,35,60.0,Punjab,Loamy,High,25.0
55,2026-02-16,wheat,Blast,25,85.0,Chhattisgarh,clay,High,
97,32-13-2025,Wheat,,-5,75.0,punjab,Sandy,High,55.0
476,2025-06-24,wheat,,30,85.0,punjab,clay,Low,-10.0
477,32-13-2025,Potato,Rust,28,75.0,Punjab,Clay,,10.0
478,,Tomato,Unknown,25,,Maharashtra,clay,HIGH,
61,,Tomto,Brown Spot,100,95.0,Haryana,Loamy,low,55.0
480,,Tomato,Late Blight,25,75.0,punjab,Clay,Low,10.0
39,32-13-2025,Tomto,Brown Spot,30,75.0,Punjab,clay,,-10.0
482,,Potato,Rust,28,60.0,punjab,Clay,Medium,-10.0
483,32-13-2025,Wheat,Leaf Blight,30,85.0,punjab,Clay,low,10.0
484,32-13-2025,Potato,Unknown,30,150.0,Punjab,,Medium,120.0
37,2025-06-27,wheat,Rust,25,85.0,Haryana,Loamy,low,
16,32-13-2025,Tomato,Wilt,35,150.0,Chhattisgarh,Sandy,HIGH,
82,,Wheat,Leaf Blight,30,95.0,Maharashtra,,High,120.0
488,2026-05-19,Tomto,Brown Spot,100,75.0,punjab,clay,,25.0
489,,wheat,Rust,28,150.0,Chhattisgarh,,HIGH,120.0
490,,Tomto,Late Blight,,85.0,punjab,clay,High,
491,,rice ,Late Blight,25,75.0,punjab,Sandy,low,55.0
72,,rice ,Unknown,25,85.0,punjab,clay,low,10.0
493,,Wheat,Blast,,75.0,Haryana,clay,Medium,-10.0
494,,Rice,Rust,,,Chhattisgarh,Sandy,Low,25.0
495,32-13-2025,rice ,Blast,25,95.0,Haryana,Sandy,low,25.0
496,,Rice,Blast,25,75.0,Haryana,,,25.0
27,2025-09-16,Tomto,Blast,,,punjab,Clay,High,-10.0
498,2026-02-16,Tomto,Blast,28,150.0,Maharashtra,clay,HIGH,
46,,Potato,Blast,25,60.0,Chhattisgarh,Sandy,low,55.0
27,2025-09-03,Maize,Brown Spot,25,60.0,Chhattisgarh,Clay,Low,10.0
501,2026-04-05,Tomto,Late Blight,N/A,75.0,Haryana,Loamy,low,55.0
502,2025-11-19,Wheat,Brown Spot,25,95.0,Maharashtra,Sandy,low,55.0
503,2025-05-24,rice ,Leaf Blight,,60.0,Chhattisgarh,,low,-10.0
64,,wheat,Rust,,85.0,Punjab,Sandy,HIGH,
505,2025-12-04,Maize,Wilt,,95.0,Chhattisgarh,clay,HIGH,120.0
39,,Rice,Wilt,,75.0,punjab,clay,,40.0
507,,rice ,Brown Spot,100,60.0,Chhattisgarh,clay,Low,10.0
100,2025-08-01,Tomto,Rust,100,75.0,Maharashtra,Loamy,High,120.0
31,2026-05-03,Wheat,,100,85.0,Haryana,,low,120.0
83,,rice ,Wilt,28,85.0,Chhattisgarh,Sandy,,10.0
54,,Tomato,,,,Punjab,Clay,,25.0
512,,Cotton,Late Blight,-5,75.0,Maharashtra,,,
44,,Potato,Leaf Blight,30,,Chhattisgarh,,low,10.0
97,,Tomato,Unknown,25,85.0,Maharashtra,clay,,10.0
515,,wheat,Late Blight,28,150.0,Maharashtra,Clay,low,-10.0
93,,Rice,Leaf Blight,30,150.0,Maharashtra,,Medium,-10.0
62,2025-09-02,Tomato,Unknown,100,75.0,punjab,Sandy,Low,-10.0
518,32-13-2025,Rice,Brown Spot,,75.0,Maharashtra,Clay,,-10.0
519,32-13-2025,wheat,Rust,28,75.0,punjab,Sandy,HIGH,25.0
520,,Cotton,Rust,,60.0,Maharashtra,,Medium,55.0
29,32-13-2025,Tomato,Leaf Blight,28,85.0,Haryana,,low,55.0
17,,Rice,Rust,100,95.0,punjab,clay,Low,55.0
523,32-13-2025,Potato,Unknown,100,95.0,Maharashtra,Loamy,HIGH,
25,2026-03-25,rice ,Blast,-5,95.0,Maharashtra,clay,Medium,55.0
525,,Wheat,Brown Spot,,95.0,punjab,Loamy,High,-10.0
526,,Rice,,100,60.0,Punjab,Sandy,HIGH,55.0
527,,Rice,Leaf Blight,-5,60.0,Maharashtra,Loamy,Medium,-10.0
528,2025-09-08,Tomto,,N/A,95.0,Punjab,,,-10.0
32,32-13-2025,Tomto,Late Blight,-5,,punjab,Loamy,Medium,-10.0
58,,Tomto,Late Blight,-5,95.0,Maharashtra,clay,low,40.0
531,32-13-2025,Wheat,Late Blight,30,95.0,Chhattisgarh,,Low,-10.0
88,,Tomto,Brown Spot,-5,95.0,Maharashtra,Sandy,low,55.0
533,2026-03-15,Cotton,Blast,,75.0,Chhattisgarh,Clay,,40.0
534,,Wheat,Wilt,,150.0,Haryana,clay,low,10.0
535,,Tomto,Wilt,100,95.0,Punjab,Sandy,HIGH,55.0
51,,Potato,Blast,,85.0,Chhattisgarh,Loamy,Medium,40.0
537,,Tomato,Late Blight,30,85.0,Punjab,clay,High,10.0
538,,Potato,Rust,25,150.0,punjab,Sandy,Medium,-10.0
539,,Tomto,Brown Spot,30,75.0,punjab,clay,Medium,
540,,Potato,Rust,,85.0,punjab,,low,
541,,Maize,Blast,100,95.0,Punjab,Loamy,low,10.0
542,,rice ,Brown Spot,100,,punjab,Sandy,HIGH,40.0
543,,Cotton,Leaf Blight,35,150.0,Punjab,Clay,Medium,55.0
544,,Potato,,35,75.0,punjab,,High,-10.0
23,,rice ,Blast,30,60.0,Maharashtra,clay,Medium,40.0
71,32-13-2025,Potato,Blast,30,85.0,Chhattisgarh,Loamy,low,25.0
547,,Cotton,Leaf Blight,N/A,60.0,Chhattisgarh,Clay,,120.0
548,,Cotton,Brown Spot,25,85.0,punjab,Clay,Low,25.0
25,,Tomato,Rust,-5,95.0,Punjab,Loamy,low,
550,2025-07-04,Tomto,Late Blight,,60.0,Punjab,,Medium,40.0
